0,0,0,0,0,0,0,0,575,877,3,2249
0,0,0,0,0,0,0,0,0,340,726,51
0,0,0,0,0,0,0,0,1,50,3,599
0,0,0,0,0,0,35,56,170,5,1029,2892
0,0,0,0,0,0,0,0,35,12,46,77
0,0,0,0,0,0,0,7,8,474,1318,795
0,0,0,0,0,0,0,0,0,0,637,1269
0,0,0,0,0,0,0,0,0,0,0,3248
0,0,0,0,0,0,0,0,255,20,185,3399
0,0,0,0,0,0,0,0,0,41,17,104
0,0,0,0,0,0,0,0,629,1476,867,8
0,0,0,0,0,0,0,0,0,153,169,42
0,0,0,0,0,0,0,0,0,59,858,2777
0,0,0,0,0,0,0,0,0,0,1,725
0,0,0,0,0,0,0,0,0,0,1931,177
0,0,0,0,0,0,0,0,0,81,55,9
0,0,0,0,0,0,0,0,0,0,263,2860
0,0,0,0,0,0,0,0,0,0,983,106
0,0,0,0,0,0,0,33,15,30,1807,110
0,0,0,0,0,0,0,0,0,0,1,1456
0,0,0,0,0,0,16,7,8,1,470,180
0,0,0,0,0,0,0,631,3,135,990,410
0,0,0,0,0,0,0,0,0,95,397,3
0,0,0,0,0,0,0,0,174,129,443,4
0,0,0,0,0,0,0,0,0,0,0,424
0,0,0,0,0,0,0,0,0,518,2435,272
0,0,0,0,0,0,0,0,0,0,264,662
0,0,0,0,0,0,0,0,0,0,2882,2883
0,0,0,0,0,0,0,0,0,1100,724,978
0,0,0,0,0,0,0,0,74,92,985,449
0,0,0,0,0,0,0,0,0,0,0,3009
0,0,0,0,0,0,0,0,0,0,473,171
0,0,0,0,0,0,0,0,0,0,2091,248
0,0,0,0,0,0,0,0,0,325,230,4
0,0,0,0,0,0,0,0,161,401,764,79
0,0,0,0,0,0,0,0,0,0,445,1256
0,0,0,0,0,0,466,156,166,2,1,776
0,0,0,0,0,0,0,0,16,120,35,27
0,0,0,0,0,0,0,59,194,21,162,244
0,0,0,0,0,0,0,348,572,573,185,1438
0,0,0,0,0,0,0,0,0,0,1812,346
0,0,0,0,0,0,0,0,74,92,411,991
0,0,0,0,12,156,1277,2334,2,1,2335,651
0,0,0,0,0,0,0,0,0,0,351,4
0,0,0,0,0,0,0,0,71,19,219,3
0,0,0,0,0,0,0,0,0,3185,11,1128
0,0,0,0,0,0,0,0,71,19,278,221
0,0,0,0,0,0,205,18,6,168,691,692
0,0,0,0,0,0,0,0,0,245,10,482
0,0,0,0,0,0,0,0,0,18,14,99
0,0,0,0,0,0,0,0,103,34,36,197
0,0,0,0,0,0,0,0,0,0,0,713
0,0,0,0,0,0,0,0,0,0,777,778
0,0,0,0,0,0,0,0,0,0,323,557
0,0,0,0,630,2,1,714,7,986,332,3
0,0,789,790,69,209,1,390,22,2,1,181
0,0,0,0,0,0,0,0,0,0,28,63
0,0,0,0,0,0,0,0,0,0,0,1001
0,0,0,0,0,0,0,0,0,153,169,311
0,0,0,0,0,0,0,547,556,217,1857,54
0,0,0,0,0,0,0,0,293,2,1,944
0,0,0,0,0,0,0,0,0,137,300,238
0,0,0,0,0,0,0,0,0,0,249,1673
0,0,0,0,0,0,0,0,3285,1,1228,105
0,0,0,0,0,0,0,0,0,93,2,1572
0,0,0,0,0,0,0,0,0,0,0,1938
0,0,0,0,0,0,0,0,0,1874,1,1875
0,0,0,0,0,0,0,0,0,25,26,963
0,0,0,0,0,0,0,41,17,99,136,467
0,0,0,0,0,0,0,0,0,0,480,380
0,0,0,0,0,0,0,0,0,867,37,68
0,0,0,0,0,0,0,0,0,1146,1090,1742
0,0,0,0,0,0,0,0,0,0,174,227
0,0,0,0,0,0,0,0,0,340,21,837
0,0,0,0,0,0,1,116,2,1,132,699
0,0,0,0,0,0,0,0,0,0,131,377
0,0,0,0,0,0,0,0,0,81,55,980
0,0,0,0,0,0,0,0,0,28,571,23
0,0,0,0,0,0,0,0,0,0,3197,3198
0,0,0,0,0,0,0,0,0,0,3785,1791
0,0,0,0,0,0,0,0,71,19,87,221
0,0,0,0,0,0,0,0,0,1312,11,1313
0,0,0,0,0,0,0,0,0,0,420,9
0,0,0,0,0,0,0,0,0,71,19,87
0,0,0,0,57,58,11,1,635,636,450,3
0,0,0,0,0,0,0,0,0,95,31,438
0,0,0,0,0,0,0,0,0,0,434,569
0,0,0,0,0,0,0,0,0,0,2237,27
0,0,0,0,0,0,0,0,0,236,48,1164
0,0,0,0,0,0,0,0,74,92,985,449
0,0,0,0,0,0,0,0,0,203,947,48
0,0,0,0,0,0,0,0,0,1750,80,111
0,0,0,0,0,0,0,0,1481,60,15,1903
0,0,0,0,0,0,0,0,0,662,3661,89
0,0,0,0,0,0,0,310,130,1285,334,651
0,0,0,0,0,0,0,0,1349,3,2762,1949
0,0,0,0,0,0,6,2,1891,1892,294,98
0,0,0,0,0,0,0,0,0,0,1,1081
0,0,0,0,0,0,0,0,0,171,370,1199
0,0,0,0,0,0,0,0,859,860,1508,1509
0,0,1,42,2,27,5,888,2,1,3128,604
0,0,0,0,0,0,103,252,34,36,197,3
0,0,0,0,0,0,0,0,353,2,657,14
0,0,0,0,0,0,0,0,0,0,12,332
0,0,0,0,0,0,0,0,0,0,1264,5
0,0,0,0,0,0,0,3304,3305,1468,3306,84
0,0,0,0,0,0,0,0,0,1503,1,22
0,0,0,0,0,0,247,1861,19,2,1051,3863
0,0,0,0,0,0,0,0,90,187,1226,244
0,0,0,0,0,0,0,0,0,0,2077,1640
0,0,0,0,0,0,0,0,385,386,1,540
0,0,0,0,0,0,0,1,50,9,105,3289
0,0,0,0,0,0,0,0,407,1230,176,2001
0,0,0,0,0,0,0,0,56,170,32,279
0,0,0,0,0,0,0,0,0,20,3824,269
0,0,0,0,0,0,0,0,0,969,970,623
0,0,0,0,0,0,0,0,0,0,2302,2303
0,0,0,0,0,0,0,0,0,95,1428,1429
0,0,0,1,2049,2,2050,283,2,1,2051,1549
0,0,0,0,0,0,7,8,869,2,1,1953
0,0,0,0,0,0,0,0,0,0,0,3335
0,0,0,0,0,0,0,0,1224,1556,63,2146
0,0,0,0,57,58,11,1,635,636,450,211
0,0,0,0,0,0,0,0,0,497,216,1623
0,0,0,0,12,46,77,1,213,2,1734,5
0,0,0,0,0,0,0,325,230,3,1495,100
0,0,0,0,0,0,0,0,404,31,189,177
0,0,0,0,0,0,0,206,146,20,207,4
